numSigs;numOrig;sSteps;tSteps;numIter;deltaSumR;epsilon;alpha;gamma
2;2;40;20;4000;2*.001;.2;.1;.8
2;3;40;20;4000;2*.001;.2;.1;.8
2;4;40;20;4000;2*.001;.2;.1;.8
2;5;40;20;4000;2*.001;.2;.1;.8
2;6;40;20;6000;2*.001;.2;.1;.8
3;2;40;20;3000;2*.001;.2;.1;.8
3;3;40;20;4000;2*.001;.2;.1;.8
3;4;40;20;3000;2*.001;.2;.1;.8
3;5;40;20;4000;2*.001;.2;.1;.8
3;6;40;20;6000;2*.001;.2;.1;.8
4;2;40;20;3000;2*.001;.2;.1;.8
4;3;40;20;3000;2*.001;.2;.1;.8
4;4;40;20;3000;2*.001;.2;.1;.8
4;5;40;20;3000;2*.001;.2;.1;.8
4;6;40;20;6000;2*.001;.2;.1;.8
5;2;40;20;2000;2*.001;.2;.1;.8
5;3;40;20;2000;2*.001;.2;.1;.8
5;4;40;20;2000;2*.001;.2;.1;.8
5;5;40;20;2000;2*.001;.2;.1;.8
5;6;40;20;6000;2*.001;.2;.1;.8
6;2;40;20;2000;2*.001;.2;.1;.8
6;3;40;20;2000;2*.001;.2;.1;.8
6;4;40;20;2000;2*.001;.2;.1;.8
6;5;40;20;2000;2*.001;.2;.1;.8
6;6;40;20;6000;2*.001;.2;.1;.8
7;3;40;20;6000;2*.001;.2;.1;.8
7;4;40;20;6000;2*.001;.2;.1;.8
7;5;40;20;6000;2*.001;.2;.1;.8
7;6;40;20;6000;2*.001;.2;.1;.8
8;3;40;20;6000;2*.001;.2;.1;.8
8;4;40;20;6000;2*.001;.2;.1;.8
8;5;40;20;6000;2*.001;.2;.1;.8
8;6;40;20;6000;2*.001;.2;.1;.8
